State,DistrictID,DistrictName,UrbanHouseholds,UrbanElectricity,UrbanKerosene,UrbanSolar,UrbanOil,UrbanOther,UrbanNoLight,RuralHouseholds,RuralElectricity,RuralKerosene,RuralSolar,RuralOil,RuralOther,RuralNoLight
Arunachal Pradesh,15747, Tirap ,"3,068 ","3,043 ",9 ,0 ,0 ,16 ,0 ,"12,066 ","9,450 ",970 ,17 ,20 ,429 ,"1,180 "
Arunachal Pradesh,15748, Upper Dibang Valley ,574 ,550 ,24 ,0 ,0 ,0 ,0 ,"1,297 ",524 ,176 ,213 ,28 ,49 ,307 
Arunachal Pradesh,15749, Upper Siang ,"3,984 ","3,680 ",237 ,2 ,2 ,22 ,41 ,"24,444 ","10,913 ","11,670 ",222 ,37 ,180 ,"1,422 "
Arunachal Pradesh,15750, Upper Subansiri ,"2,589 ","2,566 ",19 ,2 ,0 ,2 ,0 ,"12,952 ","2,807 ","3,943 ",694 ,69 ,"1,268 ","4,171 "
Arunachal Pradesh,15751, West Kameng ,"3,863 ","3,775 ",67 ,2 ,0 ,3 ,16 ,"12,542 ","10,413 ","1,209 ",81 ,55 ,356 ,428 
Arunachal Pradesh,15752, West Siang ,"6,191 ","5,683 ",475 ,2 ,17 ,13 ,1 ,"12,904 ","8,548 ","3,905 ",321 ,40 ,38 ,52 
Assam,15753, Barpeta ,"31,784 ","25,331 ","6,204 ",36 ,13 ,134 ,66 ,"306,688 ","59,473 ","243,708 ","2,678 ",276 ,214 ,339 
Assam,15755, Cachar ,"68,849 ","54,797 ","12,838 ",580 ,116 ,100 ,418 ,"299,194 ","85,408 ","208,573 ","3,579 ",836 ,157 ,641 
Assam,15757, Dhemaji ,"10,447 ","7,859 ","2,522 ",20 ,9 ,1 ,36 ,"119,112 ","20,336 ","95,696 ","2,700 ",71 ,51 ,258 
Assam,15758, Dhuburi ,"43,955 ","29,413 ","14,310 ",69 ,10 ,24 ,129 ,"370,734 ","42,819 ","323,840 ","3,353 ",160 ,135 ,427 
Assam,15759, Dibrugarh ,"54,685 ","49,893 ","4,486 ",57 ,55 ,21 ,173 ,"218,256 ","86,792 ","130,117 ",489 ,146 ,170 ,542 
Assam,15760, Goalpara ,"28,671 ","18,557 ","9,844 ",130 ,18 ,20 ,102 ,"168,874 ","60,084 ","106,336 ","1,850 ",204 ,105 ,295 
Assam,15761, Golaghat ,"22,384 ","19,960 ","2,364 ",13 ,20 ,11 ,16 ,"202,469 ","62,385 ","137,994 ","1,520 ",125 ,108 ,337 
Assam,15763, Jorhat ,"51,307 ","44,543 ","6,453 ",44 ,19 ,27 ,221 ,"181,811 ","77,520 ","102,159 ","1,526 ",138 ,86 ,382 
Assam,15765, Karbi Anglong ,"24,118 ","19,373 ","4,575 ",83 ,33 ,8 ,46 ,"152,873 ","34,545 ","108,313 ","8,374 ",701 ,594 ,346 
Assam,15767, Kokrajhar ,"11,793 ","10,103 ","1,618 ",6 ,4 ,8 ,54 ,"168,278 ","31,270 ","135,120 ",894 ,559 ,52 ,383 
Assam,15768, Lakhimpur ,"21,482 ","17,146 ","4,258 ",15 ,33 ,12 ,18 ,"181,790 ","43,150 ","136,138 ","2,101 ",180 ,66 ,155 
Assam,15769, Marigaon ,"16,516 ","12,462 ","3,968 ",17 ,29 ,16 ,24 ,"169,007 ","39,942 ","127,097 ","1,277 ",415 ,110 ,166 
Assam,15770, Nagaon ,"80,649 ","63,236 ","16,607 ",393 ,144 ,104 ,165 ,"480,208 ","132,395 ","344,347 ","2,025 ",414 ,301 ,726 
Assam,15773, Sibsagar ,"26,223 ","23,643 ","2,465 ",35 ,18 ,17 ,45 ,"220,760 ","99,787 ","119,174 ",954 ,220 ,154 ,471 
Assam,15773, Sibsagar ,"26,223 ","23,643 ","2,465 ",35 ,18 ,17 ,45 ,"220,760 ","99,787 ","119,174 ",954 ,220 ,154 ,471 
Assam,15773, Sibsagar ,"26,223 ","23,643 ","2,465 ",35 ,18 ,17 ,45 ,"220,760 ","99,787 ","119,174 ",954 ,220 ,154 ,471 
Assam,15774, Sonitpur ,"40,498 ","35,380 ","4,896 ",60 ,40 ,18 ,104 ,"346,401 ","97,988 ","245,446 ","1,540 ",508 ,155 ,764 
Assam,15775, Tinsukia ,"58,780 ","51,589 ","6,906 ",66 ,43 ,62 ,114 ,"209,603 ","110,129 ","98,002 ",453 ,396 ,177 ,446 
Bihar,15776, Araria ,"31,844 ","18,394 ","13,234 ",57 ,54 ,50 ,55 ,"529,611 ","24,896 ","501,133 ","1,355 ","1,340 ",705 ,182 
Bihar,15777, Aurangabad ,"35,294 ","19,528 ","15,240 ",333 ,79 ,96 ,18 ,"351,828 ","24,928 ","318,291 ","5,958 ","1,607 ",691 ,353 
Bihar,15777, Aurangabad ,"317,467 ","307,835 ","7,054 ",249 ,232 ,646 ,"1,451 ","419,120 ","281,642 ","122,901 ",751 ,"1,445 ","3,721 ","8,660 "
Bihar,15778, Banka ,"13,357 ","6,172 ","7,052 ",31 ,30 ,69 ,3 ,"366,656 ","56,187 ","305,807 ","2,095 ","1,289 ","1,113 ",165 
Bihar,15779, Begusarai ,"108,048 ","58,697 ","48,527 ",170 ,142 ,332 ,180 ,"488,062 ","61,676 ","422,153 ","1,815 ","1,211 ",981 ,226 
Bihar,15781, Bhagalpur ,"104,346 ","71,517 ","31,237 ",375 ,599 ,481 ,137 ,"458,960 ","103,017 ","349,845 ","2,267 ","1,731 ","1,466 ",634 
Bihar,15782, Bhojpur ,"57,773 ","37,842 ","19,274 ",177 ,184 ,203 ,93 ,"357,782 ","24,311 ","323,095 ","7,025 ","1,366 ","1,505 ",480 
Bihar,15783, Buxar ,"25,945 ","18,253 ","7,501 ",50 ,61 ,53 ,27 ,"236,453 ","28,507 ","202,895 ","2,910 ","1,176 ",654 ,311 
Bihar,15784, Darbhanga ,"73,516 ","46,920 ","25,671 ",178 ,289 ,206 ,252 ,"732,270 ","80,522 ","642,931 ","3,164 ","2,327 ","2,847 ",479 
Bihar,15785, Gaya ,"87,311 ","71,123 ","14,981 ",241 ,240 ,125 ,601 ,"603,194 ","41,494 ","551,428 ","6,274 ","2,195 ","1,321 ",482 
Bihar,15786, Gopalganj ,"25,336 ","12,053 ","13,080 ",35 ,53 ,70 ,45 ,"396,391 ","57,322 ","334,493 ","2,109 ","1,289 ",854 ,324 
Bihar,15787, Jamui ,"24,607 ","12,880 ","11,394 ",60 ,145 ,99 ,29 ,"283,684 ","19,753 ","259,579 ","2,558 ",913 ,575 ,306 
Bihar,15788, Jehanabad ,"22,014 ","14,796 ","6,759 ",94 ,159 ,198 ,8 ,"159,632 ","12,845 ","143,688 ","1,846 ",718 ,424 ,111 
Bihar,15789, Katihar ,"53,384 ","34,295 ","18,604 ",80 ,221 ,79 ,105 ,"563,679 ","26,605 ","532,056 ","1,590 ","1,209 ","2,063 ",156 
Bihar,15790, Khagaria ,"15,502 ","8,488 ","6,939 ",28 ,8 ,36 ,3 ,"312,199 ","32,153 ","277,783 ","1,083 ",635 ,492 ,53 
Bihar,15791, Kishanganj ,"31,016 ","16,178 ","14,710 ",20 ,29 ,27 ,52 ,"304,695 ","42,540 ","260,263 ",687 ,858 ,299 ,48 
Bihar,15792, Lakhisarai ,"23,702 ","15,241 ","8,238 ",60 ,61 ,73 ,29 ,"140,728 ","29,250 ","109,313 ","1,495 ",185 ,377 ,108 
Bihar,15793, Madhepura ,"17,209 ","8,023 ","9,079 ",31 ,40 ,32 ,4 ,"383,792 ","15,213 ","365,829 ","1,166 ","1,022 ",515 ,47 
Bihar,15794, Madhubani ,"29,964 ","15,366 ","14,199 ",72 ,95 ,190 ,42 ,"871,575 ","97,915 ","764,245 ","4,025 ","1,360 ","3,453 ",577 
Bihar,15795, Munger ,"69,948 ","48,520 ","20,620 ",130 ,298 ,145 ,235 ,"193,801 ","41,941 ","149,504 ",885 ,691 ,649 ,131 
Bihar,15796, Muzaffarpur ,"88,284 ","66,813 ","20,622 ",283 ,255 ,167 ,144 ,"859,579 ","113,838 ","738,509 ","2,895 ","1,819 ","1,829 ",689 
Bihar,15797, Nalanda ,"75,720 ","52,339 ","22,207 ",324 ,326 ,183 ,341 ,"411,602 ","49,039 ","353,477 ","5,943 ","1,216 ","1,531 ",396 
Bihar,15798, Nawada ,"33,080 ","18,604 ","13,949 ",203 ,84 ,214 ,26 ,"313,669 ","12,558 ","294,090 ","5,066 ",932 ,841 ,182 
Bihar,15799, Pashchim Champaran ,"72,914 ","31,657 ","40,549 ",154 ,297 ,167 ,90 ,"635,151 ","25,889 ","603,151 ","3,029 ","1,899 ","1,014 ",169 
Bihar,15800, Patna ,"413,049 ","372,880 ","37,183 ",817 ,688 ,813 ,668 ,"544,392 ","173,979 ","363,530 ","3,371 ","1,565 ","1,369 ",578 
Bihar,15801, Purba Champaran ,"71,136 ","29,202 ","40,914 ",245 ,209 ,458 ,108 ,"913,167 ","45,777 ","857,416 ","4,265 ","3,514 ","1,877 ",318 
Bihar,15802, Purnia ,"64,111 ","39,624 ","24,083 ",125 ,129 ,99 ,51 ,"576,602 ","46,434 ","525,815 ","1,344 ","1,869 ",808 ,332 
Bihar,15803, Rohtas ,"68,562 ","44,491 ","23,367 ",140 ,225 ,192 ,147 ,"387,316 ","70,402 ","311,170 ","2,622 ","1,253 ","1,572 ",297 
Bihar,15804, Saharsa ,"28,436 ","18,218 ","9,843 ",69 ,142 ,80 ,84 ,"339,776 ","23,124 ","314,109 ","1,210 ",710 ,493 ,130 
Bihar,15805, Samastipur ,"28,242 ","17,527 ","10,358 ",93 ,53 ,187 ,24 ,"822,111 ","70,494 ","744,281 ","2,881 ","2,062 ","2,009 ",384 
Bihar,15806, Saran ,"55,898 ","32,895 ","22,562 ",102 ,147 ,94 ,98 ,"585,844 ","61,892 ","516,239 ","3,593 ","2,102 ","1,415 ",603 
Bihar,15807, Sheikhpura ,"17,283 ","10,234 ","6,922 ",34 ,37 ,41 ,15 ,"86,465 ","9,831 ","74,916 ",986 ,441 ,251 ,40 
Bihar,15808, Sheohar ,"5,768 ","1,757 ","3,976 ",15 ,11 ,4 ,5 ,"143,121 ","8,247 ","133,282 ",833 ,294 ,439 ,26 
Bihar,15809, Sitamarhi ,"36,899 ","18,095 ","18,370 ",74 ,48 ,277 ,35 ,"696,184 ","48,168 ","640,822 ","2,976 ","1,929 ","1,988 ",301 
Bihar,15810, Siwan ,"28,178 ","16,923 ","10,844 ",71 ,146 ,154 ,40 ,"516,701 ","36,012 ","473,833 ","3,311 ","2,222 ",998 ,325 
Bihar,15811, Supaul ,"20,384 ","10,611 ","9,710 ",9 ,3 ,21 ,30 ,"420,420 ","40,417 ","376,667 ","1,857 ",392 ,928 ,159 
Bihar,15812, Vaishali ,"37,461 ","19,161 ","17,611 ",118 ,96 ,236 ,239 ,"595,165 ","50,840 ","538,001 ","2,512 ","1,544 ","1,775 ",493 
Chhattisgarh,15814, Bastar ,"41,597 ","36,286 ","5,038 ",31 ,90 ,26 ,126 ,"265,210 ","121,360 ","139,956 ","2,711 ",406 ,155 ,622 
Chhattisgarh,15815, Bilaspur ,"140,153 ","132,953 ","6,588 ",92 ,167 ,117 ,236 ,"475,742 ","386,751 ","82,551 ","4,359 ",687 ,304 ,"1,090 "
Chhattisgarh,15815, Bilaspur ,"5,792 ","5,732 ",53 ,3 ,0 ,2 ,2 ,"74,661 ","73,414 ","1,116 ",30 ,24 ,21 ,56 
Chhattisgarh,15816, Dantewada ,"21,688 ","18,810 ","2,609 ",41 ,43 ,22 ,163 ,"92,379 ","24,798 ","62,140 ","1,962 ","1,096 ",894 ,"1,489 "
Chhattisgarh,15817, Dhamtari ,"31,708 ","29,538 ","1,972 ",45 ,29 ,30 ,94 ,"136,570 ","119,388 ","15,242 ","1,356 ",216 ,93 ,275 
Chhattisgarh,15818, Durg ,"270,438 ","254,283 ","14,515 ",131 ,488 ,447 ,574 ,"422,563 ","359,826 ","60,349 ",268 ,700 ,328 ,"1,092 "
Chhattisgarh,15819, Janjgir-Champa ,"47,393 ","44,825 ","2,365 ",19 ,63 ,19 ,102 ,"330,103 ","294,265 ","33,823 ",461 ,368 ,188 ,998 
Chhattisgarh,15820, Jashpur ,"15,519 ","13,194 ","2,243 ",10 ,42 ,7 ,23 ,"175,008 ","63,589 ","103,729 ","7,135 ",205 ,145 ,205 
Chhattisgarh,15821, Kanker ,"16,937 ","15,662 ","1,200 ",7 ,17 ,3 ,48 ,"141,247 ","94,546 ","43,164 ","2,703 ",231 ,263 ,340 
Chhattisgarh,15824, Koriya ,"44,651 ","41,199 ","3,241 ",110 ,36 ,14 ,51 ,"107,424 ","38,824 ","63,067 ","5,051 ",129 ,67 ,286 
Chhattisgarh,15825, Mahasamund ,"26,477 ","24,538 ","1,817 ",11 ,35 ,14 ,62 ,"230,027 ","187,949 ","40,474 ",177 ,396 ,212 ,819 
Chhattisgarh,15826, Raigarh ,"51,973 ","49,667 ","2,074 ",54 ,42 ,70 ,66 ,"309,691 ","247,641 ","60,730 ",368 ,364 ,143 ,445 
Chhattisgarh,15826, Raigarh ,"219,994 ","214,110 ","5,081 ",180 ,121 ,69 ,433 ,"376,520 ","333,096 ","38,092 ","1,369 ",502 ,469 ,"2,992 "
Chhattisgarh,15827, Raipur ,"299,151 ","286,592 ","10,745 ",172 ,393 ,296 ,953 ,"561,916 ","441,964 ","110,340 ","5,810 ","1,068 ",910 ,"1,824 "
Chhattisgarh,15828, Raj Nandgaon ,"58,635 ","55,584 ","2,786 ",21 ,80 ,41 ,123 ,"256,900 ","219,917 ","34,728 ","1,085 ",435 ,182 ,553 
Chhattisgarh,15828, Raj Nandgaon ,"58,635 ","55,584 ","2,786 ",21 ,80 ,41 ,123 ,"256,900 ","219,917 ","34,728 ","1,085 ",435 ,182 ,553 
Chhattisgarh,15828, Raj Nandgaon ,"58,635 ","55,584 ","2,786 ",21 ,80 ,41 ,123 ,"256,900 ","219,917 ","34,728 ","1,085 ",435 ,182 ,553 
Chhattisgarh,15829, Surguja ,"47,575 ","43,727 ","3,608 ",31 ,82 ,16 ,111 ,"472,991 ","209,404 ","257,456 ","3,047 ",906 ,721 ,"1,457 "
Goa,15834, North Goa ,"107,673 ","105,159 ","1,910 ",200 ,40 ,100 ,264 ,"71,412 ","68,792 ","2,116 ",101 ,50 ,28 ,325 
Goa,15835, South Goa ,"90,466 ","88,394 ","1,600 ",107 ,30 ,101 ,234 ,"53,262 ","50,416 ","2,171 ",168 ,30 ,27 ,450 
Gujarat,15836, Ahmadabad ,"1,265,770 ","1,245,177 ","14,218 ",393 ,908 ,782 ,"4,292 ","228,886 ","210,869 ","14,553 ",231 ,324 ,690 ,"2,219 "
Gujarat,15837, Amreli ,"75,180 ","72,532 ","1,912 ",28 ,97 ,96 ,515 ,"218,891 ","200,799 ","13,798 ",320 ,208 ,967 ,"2,799 "
Gujarat,15838, Anand ,"130,095 ","121,849 ","6,696 ",124 ,223 ,102 ,"1,101 ","297,069 ","256,461 ","34,291 ",166 ,575 ,414 ,"5,162 "
Gujarat,15839, Banas Kantha ,"81,820 ","76,155 ","4,325 ",29 ,303 ,153 ,855 ,"479,308 ","320,718 ","130,629 ",955 ,"7,794 ","3,228 ","15,984 "
Gujarat,15840, Bharuch ,"118,070 ","115,028 ","2,193 ",26 ,169 ,102 ,552 ,"217,028 ","194,063 ","20,101 ",201 ,407 ,"1,031 ","1,225 "
Gujarat,15841, Bhavnagar ,"238,737 ","229,086 ","6,153 ",122 ,831 ,722 ,"1,823 ","303,727 ","271,671 ","27,217 ",296 ,384 ,967 ,"3,192 "
Gujarat,15842, Dahod ,"34,875 ","31,677 ","2,901 ",26 ,27 ,12 ,232 ,"294,997 ","209,440 ","78,555 ",551 ,891 ,439 ,"5,121 "
Gujarat,15843, Gandhinagar ,"126,740 ","118,371 ","6,477 ",81 ,179 ,190 ,"1,442 ","160,460 ","144,168 ","13,065 ",81 ,557 ,298 ,"2,291 "
Gujarat,15844, Jamnagar ,"194,041 ","187,473 ","4,101 ",189 ,182 ,788 ,"1,308 ","230,295 ","199,065 ","25,323 ",565 ,486 ,865 ,"3,991 "
Gujarat,15845, Junagadh ,"179,735 ","175,742 ","3,042 ",90 ,119 ,158 ,584 ,"346,939 ","322,584 ","20,784 ",540 ,419 ,491 ,"2,121 "
Gujarat,15847, Kheda ,"104,002 ","96,039 ","6,687 ",61 ,156 ,84 ,975 ,"358,132 ","276,187 ","72,191 ",344 ,980 ,"1,179 ","7,251 "
Gujarat,15848, Mahesana ,"107,867 ","102,911 ","3,820 ",98 ,118 ,80 ,840 ,"318,040 ","282,698 ","29,427 ",157 ,"1,032 ",406 ,"4,320 "
Gujarat,15849, Narmada ,"13,034 ","12,191 ",644 ,4 ,31 ,7 ,157 ,"109,005 ","89,749 ","13,966 ","3,911 ",110 ,342 ,927 
Gujarat,15850, Navsari ,"90,561 ","87,797 ","2,358 ",8 ,47 ,69 ,282 ,"203,615 ","179,882 ","21,831 ",60 ,339 ,177 ,"1,326 "
Gujarat,15851, Panch Mahals ,"68,129 ","65,417 ","2,246 ",19 ,47 ,29 ,371 ,"378,617 ","333,520 ","40,081 ",589 ,331 ,487 ,"3,609 "
Gujarat,15852, Patan ,"58,581 ","55,527 ","2,487 ",11 ,89 ,63 ,404 ,"210,593 ","167,897 ","36,684 ",317 ,"1,716 ",810 ,"3,169 "
Gujarat,15853, Porbandar ,"61,216 ","59,643 ","1,354 ",17 ,42 ,43 ,117 ,"63,553 ","57,397 ","5,104 ",406 ,115 ,173 ,358 
Gujarat,15854, Rajkot ,"468,918 ","457,056 ","8,726 ",202 ,269 ,664 ,"2,001 ","313,713 ","290,296 ","20,109 ",202 ,328 ,799 ,"1,979 "
Gujarat,15855, Sabar Kantha ,"74,294 ","71,228 ","1,924 ",64 ,176 ,238 ,664 ,"404,203 ","367,378 ","29,550 ",199 ,620 ,756 ,"5,700 "
Gujarat,15856, Surat ,"1,036,237 ","1,022,240 ","11,395 ",296 ,340 ,467 ,"1,499 ","263,433 ","230,212 ","30,174 ",118 ,303 ,636 ,"1,990 "
Gujarat,15857, Surendranagar ,"100,506 ","95,414 ","4,253 ",32 ,101 ,275 ,431 ,"241,831 ","206,654 ","28,528 ",357 ,446 ,"1,726 ","4,120 "
Gujarat,15858, The Dangs ,"4,606 ","4,071 ",448 ,2 ,9 ,23 ,53 ,"43,842 ","25,723 ","17,456 ",84 ,88 ,15 ,476 
Gujarat,15859, Vadodara ,"461,270 ","449,956 ","8,266 ",101 ,397 ,240 ,"2,310 ","418,851 ","348,321 ","59,749 ","2,465 ",922 ,907 ,"6,487 "
Gujarat,15860, Valsad ,"146,640 ","142,541 ","3,377 ",65 ,45 ,147 ,465 ,"215,288 ","186,677 ","26,304 ",265 ,275 ,333 ,"1,434 "
Haryana,15861, Ambala ,"95,546 ","93,083 ","1,999 ",141 ,41 ,101 ,181 ,"112,525 ","106,598 ","5,004 ",95 ,173 ,144 ,511 
Haryana,15862, Bhiwani ,"63,051 ","58,515 ","3,500 ",30 ,132 ,518 ,356 ,"245,761 ","207,729 ","34,862 ",317 ,662 ,911 ,"1,280 "
Haryana,15863, Faridabad ,"292,751 ","279,387 ","9,060 ",581 ,574 ,"1,342 ","1,807 ","60,315 ","53,784 ","5,373 ",171 ,181 ,360 ,446 
Haryana,15864, Fatehabad ,"34,828 ","33,367 ",839 ,5 ,31 ,172 ,414 ,"141,266 ","119,934 ","17,624 ",408 ,691 ,"1,322 ","1,287 "
Haryana,15865, Gurgaon ,"232,629 ","225,669 ","4,457 ",163 ,236 ,"1,376 ",728 ,"88,013 ","80,082 ","6,667 ",215 ,289 ,416 ,344 
Haryana,15866, Hisar ,"104,018 ","99,162 ","3,537 ",78 ,196 ,488 ,557 ,"221,028 ","185,842 ","30,062 ",685 ,"1,289 ","1,966 ","1,184 "
Haryana,15867, Jhajjar ,"49,060 ","47,119 ","1,280 ",14 ,345 ,155 ,147 ,"134,340 ","121,439 ","11,437 ",156 ,357 ,529 ,422 
Haryana,15868, Jind ,"57,523 ","54,551 ","2,306 ",21 ,98 ,298 ,249 ,"187,059 ","167,911 ","16,749 ",184 ,472 ,"1,061 ",682 
Haryana,15869, Kaithal ,"45,783 ","43,725 ","1,420 ",25 ,80 ,315 ,218 ,"154,438 ","143,624 ","9,255 ",83 ,352 ,377 ,747 
Haryana,15870, Karnal ,"90,548 ","88,049 ","1,679 ",75 ,172 ,362 ,211 ,"194,003 ","179,174 ","11,726 ",241 ,509 ,"1,389 ",964 
Haryana,15871, Kurukshetra ,"53,171 ","51,880 ",914 ,8 ,35 ,244 ,90 ,"126,220 ","120,028 ","5,447 ",57 ,147 ,351 ,190 
Haryana,15872, Mahendragarh ,"23,290 ","21,901 ","1,182 ",16 ,30 ,74 ,87 ,"145,235 ","113,554 ","29,852 ",191 ,464 ,479 ,695 
Haryana,15873, Panchkula ,"67,585 ","64,969 ","1,949 ",20 ,121 ,263 ,263 ,"42,651 ","38,486 ","2,994 ",678 ,106 ,155 ,232 
Haryana,15874, Panipat ,"105,466 ","102,393 ","2,338 ",78 ,106 ,140 ,411 ,"114,922 ","107,572 ","5,558 ",202 ,148 ,"1,043 ",399 
Haryana,15875, Rewari ,"42,867 ","41,515 ","1,010 ",38 ,41 ,67 ,196 ,"126,261 ","111,136 ","13,399 ",292 ,409 ,353 ,672 
Haryana,15876, Rohtak ,"87,427 ","85,242 ","1,604 ",57 ,90 ,263 ,171 ,"115,506 ","107,878 ","6,485 ",114 ,183 ,329 ,517 
Haryana,15877, Sirsa ,"61,428 ","59,393 ","1,238 ",114 ,99 ,302 ,282 ,"178,789 ","156,134 ","19,558 ",334 ,757 ,728 ,"1,278 "
Haryana,15878, Sonepat ,"89,372 ","86,642 ","1,934 ",76 ,109 ,311 ,300 ,"180,286 ","166,412 ","12,050 ",137 ,355 ,588 ,744 
Haryana,15878, Sonepat ,"89,372 ","86,642 ","1,934 ",76 ,109 ,311 ,300 ,"180,286 ","166,412 ","12,050 ",137 ,355 ,588 ,744 
